authorisation id / permit id,2013,2014,2015,2016,2017,2018,2019
RP3632SF,243292000.0,177364970.0,76017000.0,509645000.0,350257000.0,183915280.0,261678496.0
RP3936YG,,,,,,12204000.0,14845000.0
SP3133LY,212817770.0,269079300.0,74661000.0,1616340.0,,,
SP3233LQ,108000000.0,138695220.0,,,,,
SP3535LT,10200000000.0,8880000000.0,6779999999.999999,1590000000.0,,,
SP3730BW,212013632.0,194400048.0,60476888.0,2042000.0000000002,4089000.0,1547000.0,
SP3836SP,,,,,,22408000.0,10225000.0
SP3935LW,10900000000.0,9210000000.0,7720000000.0,1170000000.0,1770000000.0,1680000000.0,791000000.0
SP3938LQ,,,,45978715.0,53466027.0,18973686.0,
UP3038LG,61404000.0,47800000.0,32200000.0,34356000.0,49300855.0,38372720.0,12715800.0
UP3333LL,22715000.0,19400000.0,32100000.0,40535000.0,61658209.99999999,17362154.0,
UP3339EK,27290000.0,21310000.0,27538000.0,,,32115000.0,
VP3032EZ,,,,,,13965718.0,
VP3133LP,1985180500.0,,,,,,
VP3337SR,8235000000.0,2935200000.0,2037000000.0,720400000.0,,,
VP3530LS,23118898000.0,23745380000.0,23430644000.0,17715874000.0,17976998000.0,16612419000.0,12992850000.0
VP3538XX,2257359000.0,2694585000.0,3351616000.0,3648469000.0,2719755000.0,3004144500.0,3423908000.0
VP3736SB,34439836.0,14262570.0,,,,,
VP3831DS,,,,,,28700000.0,44900000.0
VP3930LH,11495905000.0,7799832000.0,4748503000.0,2098992000.0,1014334000.0,540928000.0,
VP3933RJ,,,26439000.0,,,25056000.0,44237043.0
WP3135JL,,,,,2960000000.0,2900000000.0,1380000000.0
WP3535LZ,14100000.0,,,,,,
WP3633CS,66218000.0,63257000.0,57566999.99999999,47458000.0,46034000.0,61179000.0,
XP3030GZ,,3883230.0,,,18250000.0,,
XP3038SW,192302700.0,,,,,,
XP3139BM,,,,,,11346000.0,10829000.0
XP3330GR,,11790000.0,,14054000.000000002,13264000.000000002,,
YP3030LR,1737800000.0,,,,,,
YP3133LL,24416560.0,50454.0,37690640.0,711016259.9999999,907294980.0,1026050050.0,803106880.0
YP3236SA,,,,25000000.0,,,22217680.0
YP3930LZ,904778000.0,1274951000.0,1568566000.0,2311047000.0,2434803000.0,2322809000.0,2394970000.0
ZP3133LM,10146200.0,9642300.0,7548240.000000001,14201330.0,14407650.000000002,17180250.0,20490050.0
